function	function_usr	provenance	current_source	current_header	original_source	original_header	linux	macos	freebsd	native_function	native_function_usr
p101_dbm_clearerr	c:@F@p101_dbm_clearerr	XSI	libraries/lib_database/src/ndbm.c	libraries/lib_database/include/p101_database/p101_ndbm.h	libraries/lib_posix_xsi/src/ndbm.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_ndbm.h	yes	yes	yes	dbm_clearerr	c:@F@dbm_clearerr
p101_dbm_close	c:@F@p101_dbm_close	XSI	libraries/lib_database/src/ndbm.c	libraries/lib_database/include/p101_database/p101_ndbm.h	libraries/lib_posix_xsi/src/ndbm.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_ndbm.h	yes	yes	yes	dbm_close	c:@F@dbm_close
p101_dbm_delete	c:@F@p101_dbm_delete	XSI	libraries/lib_database/src/ndbm.c	libraries/lib_database/include/p101_database/p101_ndbm.h	libraries/lib_posix_xsi/src/ndbm.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_ndbm.h	yes	yes	yes	dbm_delete	c:@F@dbm_delete
p101_dbm_error	c:@F@p101_dbm_error	XSI	libraries/lib_database/src/ndbm.c	libraries/lib_database/include/p101_database/p101_ndbm.h	libraries/lib_posix_xsi/src/ndbm.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_ndbm.h	yes	yes	yes	dbm_error	c:@F@dbm_error
p101_dbm_fetch	c:@F@p101_dbm_fetch	XSI	libraries/lib_database/src/ndbm.c	libraries/lib_database/include/p101_database/p101_ndbm.h	libraries/lib_posix_xsi/src/ndbm.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_ndbm.h	yes	yes	yes	dbm_fetch	c:@F@dbm_fetch
p101_dbm_firstkey	c:@F@p101_dbm_firstkey	XSI	libraries/lib_database/src/ndbm.c	libraries/lib_database/include/p101_database/p101_ndbm.h	libraries/lib_posix_xsi/src/ndbm.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_ndbm.h	yes	yes	yes	dbm_firstkey	c:@F@dbm_firstkey
p101_dbm_nextkey	c:@F@p101_dbm_nextkey	XSI	libraries/lib_database/src/ndbm.c	libraries/lib_database/include/p101_database/p101_ndbm.h	libraries/lib_posix_xsi/src/ndbm.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_ndbm.h	yes	yes	yes	dbm_nextkey	c:@F@dbm_nextkey
p101_dbm_open	c:@F@p101_dbm_open	XSI	libraries/lib_database/src/ndbm.c	libraries/lib_database/include/p101_database/p101_ndbm.h	libraries/lib_posix_xsi/src/ndbm.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_ndbm.h	yes	yes	yes	dbm_open	c:@F@dbm_open
p101_dbm_store	c:@F@p101_dbm_store	XSI	libraries/lib_database/src/ndbm.c	libraries/lib_database/include/p101_database/p101_ndbm.h	libraries/lib_posix_xsi/src/ndbm.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_ndbm.h	yes	yes	yes	dbm_store	c:@F@dbm_store
